date,prediction,probability,actual_label,actual_return,pnl
2016-09-21,0,0.13133425,0,-0.00017624872523736089,0.0
2016-09-22,0,0.12933977,1,0.009379269062778322,0.0
2016-09-23,0,0.44673774,0,-0.01680407127074455,0.0
2016-09-26,0,0.2447304,0,0.001507019898726489,0.0
2016-09-27,0,0.19794558,0,0.001858703585714465,0.0
2016-09-28,0,0.47166398,1,0.007575826589952576,0.0
2016-09-29,0,0.4601065,0,-0.015655130695139595,0.0
2016-09-30,0,0.31010157,1,0.007725720953797425,0.0
2016-10-03,0,0.24494305,0,-0.0046995186380511846,0.0
2016-10-04,0,0.3111445,0,0.004256663873546348,0.0
2016-10-05,0,0.32890585,0,0.00044285476450489137,0.0
2016-10-06,0,0.28043544,1,0.007402846168842914,0.0
2016-10-07,0,0.12917258,0,0.0014914173962776596,0.0
2016-10-10,0,0.31315675,1,0.017296642921374308,0.0
2016-10-11,0,0.29103205,0,0.0021515845351677094,0.0
2016-10-12,0,0.34712547,1,0.008902961364227826,0.0
2016-10-13,0,0.35284942,0,-0.0030727943873021693,0.0
2016-10-14,0,0.43872032,1,0.005541038363542055,0.0
2016-10-17,0,0.4668592,0,-0.0006803379040229797,0.0
2016-10-18,0,0.16229127,0,-0.0006809428277895219,0.0
2016-10-19,0,0.07767344,0,-0.002983798031166373,0.0
2016-10-20,0,0.101329796,0,-0.0005122367379479558,0.0
2016-10-21,0,0.045594223,0,-0.003937627252067074,0.0
2016-10-24,0,0.05754765,1,0.008964795708160654,0.0
2016-10-25,0,0.17335926,1,0.005086936824659074,0.0
2016-10-26,1,0.5913764,0,-0.02275154473141542,-0.02375154473141542
2016-10-27,0,0.22114033,0,-0.009649216720074991,0.0
2016-10-28,0,0.27220833,0,-0.0066608164129317,0.0
2016-10-31,0,0.27005857,0,-0.001584015777022703,0.0
2016-11-01,0,0.41080055,0,-0.018220611662455706,0.0
2016-11-02,0,0.28812873,0,0.0008968298173023509,0.0
2016-11-03,0,0.36404723,0,-0.010776644373699002,0.0
2016-11-04,1,0.55624586,0,-0.009054915240035214,-0.010054915240035215
2016-11-07,0,0.33864754,1,0.014321825071660101,0.0
2016-11-08,1,0.5846545,1,0.005869807612375859,0.004869807612375859
2016-11-09,1,0.5386685,0,-0.001621911086415581,-0.002621911086415581
2016-11-10,0,0.36260834,0,-0.02826373315877887,0.0
2016-11-11,0,0.37932092,1,0.005919854350767847,0.0
2016-11-14,0,0.30294722,0,-0.025405109314759717,0.0
2016-11-15,0,0.23551542,1,0.013156777605796501,0.0
2016-11-16,1,0.50849354,1,0.026533182637793418,0.025533182637793417
2016-11-17,1,0.57890445,0,-0.000363802485627499,-0.001363802485627499
