date,prediction,probability,actual_label,actual_return,pnl
2016-09-21,0,0.0,0,-0.00017624872523736089,0.0
2016-09-22,0,0.0,1,0.009379269062778322,0.0
2016-09-23,0,0.0,0,-0.01680407127074455,0.0
2016-09-26,0,0.0,0,0.001507019898726489,0.0
2016-09-27,0,0.0,0,0.001858703585714465,0.0
2016-09-28,1,1.0,1,0.007575826589952576,0.006575826589952576
2016-09-29,1,0.6238381629305628,0,-0.015655130695139595,-0.016655130695139596
2016-09-30,0,0.0,1,0.007725720953797425,0.0
2016-10-03,0,0.0,0,-0.0046995186380511846,0.0
2016-10-04,0,0.41268628200229246,0,0.004256663873546348,0.0
2016-10-05,1,0.6201894015716298,0,0.00044285476450489137,-0.0005571452354951086
2016-10-06,0,0.44199109045128804,1,0.007402846168842914,0.0
2016-10-07,0,0.0,0,0.0014914173962776596,0.0
2016-10-10,1,0.6165865384615383,1,0.017296642921374308,0.016296642921374307
2016-10-11,0,0.0,0,0.0021515845351677094,0.0
2016-10-12,1,0.617142857142857,1,0.008902961364227826,0.007902961364227825
2016-10-13,1,1.0,0,-0.0030727943873021693,-0.004072794387302169
2016-10-14,1,0.6206896551724138,1,0.005541038363542055,0.004541038363542055
2016-10-17,1,0.6206896551724136,0,-0.0006803379040229797,-0.0016803379040229798
2016-10-18,0,0.0,0,-0.0006809428277895219,0.0
2016-10-19,0,0.0,0,-0.002983798031166373,0.0
2016-10-20,0,0.0,0,-0.0005122367379479558,0.0
2016-10-21,0,0.0,0,-0.003937627252067074,0.0
2016-10-24,0,0.0,1,0.008964795708160654,0.0
2016-10-25,0,0.0,1,0.005086936824659074,0.0
2016-10-26,1,1.0,0,-0.02275154473141542,-0.02375154473141542
2016-10-27,0,0.16881111682964484,0,-0.009649216720074991,0.0
2016-10-28,0,0.0,0,-0.0066608164129317,0.0
2016-10-31,1,0.782608695652174,0,-0.001584015777022703,-0.002584015777022703
2016-11-01,0,0.42857142857142855,0,-0.018220611662455706,0.0
2016-11-02,0,0.04081632653061224,0,0.0008968298173023509,0.0
2016-11-03,0,0.0,0,-0.010776644373699002,0.0
2016-11-04,1,1.0,0,-0.009054915240035214,-0.010054915240035215
2016-11-07,0,0.04081632653061224,1,0.014321825071660101,0.0
2016-11-08,1,1.0,1,0.005869807612375859,0.004869807612375859
2016-11-09,1,0.5718713676869428,0,-0.001621911086415581,-0.002621911086415581
2016-11-10,1,0.5695268412675443,0,-0.02826373315877887,-0.029263733158778872
2016-11-11,0,0.11141120864280886,1,0.005919854350767847,0.0
2016-11-14,1,1.0,0,-0.025405109314759717,-0.026405109314759718
2016-11-15,0,0.23404255319148928,1,0.013156777605796501,0.0
2016-11-16,1,0.51314673452078,1,0.026533182637793418,0.025533182637793417
2016-11-17,1,0.5682821474343758,0,-0.000363802485627499,-0.001363802485627499
2016-11-18,1,0.5682821474343765,0,0.0009999503869955197,-4.961300448030545e-08
2016-11-21,0,0.0,1,0.015059471087512917,0.0
2016-11-22,1,0.5780381254964257,0,0.0006265405717285574,-0.00037345942827144265
2016-11-23,1,0.5008221752407791,0,-0.005111442600348326,-0.006111442600348326
2016-11-25,1,0.500822175240779,1,0.00502171737914725,0.00402171737914725
2016-11-28,1,0.8766583004661168,0,-0.001969683891017722,-0.002969683891017722
2016-11-29,0,0.11218169304886438,0,-0.000986484515312982,0.0
2016-11-30,0,0.05001534212948754,0,-0.00846934814353526,0.0
2016-12-01,0,0.049561801148383225,0,-0.00936338424160761,0.0
2016-12-02,0,0.0,0,0.0037377623447245904,0.0
2016-12-05,1,0.5355774665578082,0,-0.007214166008596086,-0.008214166008596086
2016-12-06,1,0.5355774665578086,1,0.007669067630309136,0.006669067630309136
2016-12-07,1,0.6062947067238904,1,0.009774717454743771,0.008774717454743772
2016-12-08,0,0.0,1,0.009769122350458757,0.0
2016-12-09,0,0.0,1,0.016190188605235637,0.0
2016-12-12,0,0.0,0,-0.005720583295011554,0.0
2016-12-13,1,0.7893056664006375,1,0.016543734017424018,0.015543734017424017
2016-12-14,0,0.0,0,0.0,0.0
2016-12-15,0,0.0,1,0.0054542869920826045,0.0
2016-12-16,0,0.0,0,0.001294477560889793,0.0
2016-12-19,1,0.7823960880195588,1,0.005760757837097408,0.004760757837097408
2016-12-20,1,0.7858861267040891,0,0.002653897618698546,0.001653897618698546
2016-12-21,1,0.77893691008445,0,0.0009401270090338265,-5.987299096617347e-05
2016-12-22,1,0.78239608801956,0,-0.006599311955402412,-0.007599311955402412
2016-12-23,0,0.0,0,0.0019756196370158577,0.0
2016-12-27,1,1.0,1,0.006330791587523415,0.005330791587523415
2016-12-28,0,0.0,0,-0.004273082860998149,0.0
2016-12-29,1,1.0,0,-0.0002569821539966195,-0.0012569821539966195
2016-12-30,0,0.2644628099173553,0,-0.007826294279861794,0.0
2017-01-03,1,0.8779149519890261,0,0.0028450429506800866,0.0018450429506800866
2017-01-04,0,0.06968641114982581,0,-0.0011195401650712568,0.0
2017-01-05,0,0.06819144430326136,1,0.005072130937928148,0.0
2017-01-06,1,0.7751793259310199,1,0.011086722446364638,0.010086722446364639
2017-01-09,1,0.7786805958599334,1,0.009117764943876068,0.008117764943876067
2017-01-10,0,0.0,0,0.001008026376418376,0.0
