date,prediction,probability,actual_label,actual_return,pnl
2016-09-21,0,0.24874588759485053,0,-0.00017624872523736089,0.0
2016-09-22,0,0.09233472611054434,1,0.009379269062778322,0.0
2016-09-23,0,0.450180171325376,0,-0.01680407127074455,0.0
2016-09-26,0,0.21247703065808154,0,0.001507019898726489,0.0
2016-09-27,0,0.2551135464008738,0,0.001858703585714465,0.0
2016-09-28,0,0.2918079737645136,1,0.007575826589952576,0.0
2016-09-29,0,0.4068929936895689,0,-0.015655130695139595,0.0
2016-09-30,0,0.28414091868172214,1,0.007725720953797425,0.0
2016-10-03,0,0.2603033718769772,0,-0.0046995186380511846,0.0
2016-10-04,0,0.23653115250195852,0,0.004256663873546348,0.0
2016-10-05,0,0.22655465710439457,0,0.00044285476450489137,0.0
2016-10-06,0,0.24649798354767063,1,0.007402846168842914,0.0
2016-10-07,0,0.2698695605393277,0,0.0014914173962776596,0.0
2016-10-10,0,0.30833224663726333,1,0.017296642921374308,0.0
2016-10-11,0,0.3052657792826839,0,0.0021515845351677094,0.0
2016-10-12,0,0.33526456376020847,1,0.008902961364227826,0.0
2016-10-13,0,0.35625371310112697,0,-0.0030727943873021693,0.0
2016-10-14,0,0.33115829491502496,1,0.005541038363542055,0.0
2016-10-17,0,0.4172531846491057,0,-0.0006803379040229797,0.0
2016-10-18,0,0.40561109657576144,0,-0.0006809428277895219,0.0
2016-10-19,0,0.2946680864865142,0,-0.002983798031166373,0.0
2016-10-20,0,0.2598063687995023,0,-0.0005122367379479558,0.0
2016-10-21,0,0.08617769803258543,0,-0.003937627252067074,0.0
2016-10-24,0,0.14653189137136205,1,0.008964795708160654,0.0
2016-10-25,0,0.30092815972879666,1,0.005086936824659074,0.0
2016-10-26,0,0.4588091837227162,0,-0.02275154473141542,0.0
2016-10-27,0,0.29342369037366955,0,-0.009649216720074991,0.0
2016-10-28,0,0.19045909557771043,0,-0.0066608164129317,0.0
2016-10-31,0,0.28136663374904614,0,-0.001584015777022703,0.0
2016-11-01,0,0.39784840025196444,0,-0.018220611662455706,0.0
2016-11-02,0,0.3715209516092414,0,0.0008968298173023509,0.0
2016-11-03,0,0.3703567865877101,0,-0.010776644373699002,0.0
2016-11-04,0,0.3945372787843608,0,-0.009054915240035214,0.0
2016-11-07,0,0.3747507782719429,1,0.014321825071660101,0.0
2016-11-08,1,0.5457553910099321,1,0.005869807612375859,0.004869807612375859
2016-11-09,1,0.5318719026212405,0,-0.001621911086415581,-0.002621911086415581
2016-11-10,0,0.4570698677026995,0,-0.02826373315877887,0.0
2016-11-11,0,0.2919719201978745,1,0.005919854350767847,0.0
2016-11-14,0,0.40801483489908863,0,-0.025405109314759717,0.0
2016-11-15,0,0.4524194270122787,1,0.013156777605796501,0.0
2016-11-16,0,0.43182245346525827,1,0.026533182637793418,0.0
2016-11-17,0,0.4002014427991296,0,-0.000363802485627499,0.0
2016-11-18,0,0.4243409508238392,0,0.0009999503869955197,0.0
2016-11-21,0,0.3162815067591067,1,0.015059471087512917,0.0
2016-11-22,0,0.39576308746052113,0,0.0006265405717285574,0.0
2016-11-23,0,0.30727577086615016,0,-0.005111442600348326,0.0
